"year","variable","Coverage","dlm.geomean","dlm.lower","dlm.upper","fixed.effects","lower.whisker","q.25","median","q.75","upper.whisker"
2009,"BvB",0.89799635701275,1.02984238912631,1.01471754816433,1.04519267293644,1.04896634475659,0.0206843439038085,0.54785936561664,1.05565931396562,1.62631578947368,3.241406926256
2010,"BvB",0.848816029143898,1.03758204812314,1.018838941872,1.05666996258438,1.04942435296194,0.0186864243221907,0.550162371312098,1.03128981278872,1.58666666666667,3.08105687416032
2011,"BvB",0.821493624772313,1.07564169785477,1.05428241663762,1.09743370837379,1.09209160523817,0.0160421189935788,0.57039359567888,1.0924204770171,1.60267305790006,3.12
2012,"BvB",0.748633879781421,1.09179965450552,1.06559393510092,1.1186498405375,1.11322874465396,0.0142792487745042,0.565547871988194,1.10726909742611,1.62117676044039,3.09915441385211
2013,"BvB",0.670309653916211,1.09184975994376,1.06102743216,1.12356746126944,1.1068645019278,0.0136328630275102,0.536672091660614,1.12099760761989,1.60943058584075,3.09140976513045
2014,"BvB",0.540983606557377,1.09783413827919,1.05961192816716,1.13743509593738,1.1037094747016,0.014984396862134,0.573793103448276,1.11123192735094,1.67802444444444,3.32267956636289
2015,"BvB",0.378870673952641,1.13323804564136,1.08369116188647,1.18505023687144,1.16302678758215,0.0182163255971041,0.715077586206897,1.32253083218251,1.80475667106144,3.30011494252874
2016,"BvB",0.185792349726776,1.18657559506478,1.11684583966941,1.26065889560916,1.23439168184326,0.0528618659434376,0.812119345787997,1.45130578803282,1.97565327909081,3.61040986908359
2017,"BvB",0.145719489981785,1.26077093246492,1.17244086260857,1.35575566737914,1.42551646551846,0.0874937423312883,0.922692307692307,1.58470909090909,2.05839885858189,3.55409566968781
2018,"BvB",0.100182149362477,1.35599141319308,1.23995991909139,1.48288076440464,1.59216481562345,0.223207317073171,1.08781453000798,1.65749457142857,2.47528643036162,4.50653038674033
1970,"UvU",0.365646258503401,0.390484999672404,0.349528183435875,0.436241030609572,0.398427876067631,0,0.145906876680433,0.542372881355932,1.16156558441558,2.63074827586207
1971,"UvU",0.377551020408163,0.402900853368974,0.362132257481183,0.448259149225011,0.413314216065055,0,0.13708,0.549115471644516,1.26017242203617,2.925781954398
1972,"UvU",0.391156462585034,0.438242761582171,0.39599078061828,0.485003003805542,0.460002414860805,0,0.144510058414643,0.639542212807235,1.32574943687688,3.05263092582931
1973,"UvU",0.41156462585034,0.470970056372432,0.427673355602682,0.518650018977381,0.48954158420542,0,0.152054794520548,0.60120474395712,1.37058,3.06664137931034
1974,"UvU",0.428571428571429,0.489809831585516,0.44641828917936,0.537419001266412,0.498683648237743,0,0.17376675041876,0.597184190731799,1.44473824335648,3.29064871346165
1975,"UvU",0.448979591836735,0.530249780565964,0.48530812850514,0.579353225869727,0.545565719699383,0,0.199526043376532,0.600847457627119,1.38701282548432,3.16666666666667
1976,"UvU",0.460884353741497,0.573597382028965,0.526589485885624,0.624801606354034,0.609728521720529,0,0.199161195452418,0.707446808510638,1.49240896358543,3.41666666666667
1977,"UvU",0.494897959183673,0.590854379354513,0.54497677397642,0.640594084505907,0.632860036390223,0,0.275865826144658,0.747222222222222,1.41370101596517,3.1155275862069
1978,"UvU",0.520408163265306,0.620266120406392,0.574211622498475,0.670014407667303,0.663534663379183,0,0.258793969849246,0.789539207552729,1.49,3.3285
1979,"UvU",0.532312925170068,0.633676559401045,0.587999741031975,0.68290163058509,0.667262360665357,0,0.255281053130546,0.755555555555556,1.39705882352941,3.09166551724138
1980,"UvU",0.571428571428571,0.67331500549314,0.627727648154023,0.722213045666246,0.685795483539437,0,0.261940407711648,0.793855225178787,1.47005958291957,3.186
1981,"UvU",0.602040816326531,0.701511235002561,0.656399260200785,0.74972359457609,0.729929538252707,0,0.30392,0.820707041346154,1.51290059302896,3.3
1982,"UvU",0.622448979591837,0.754511234462466,0.707786013656681,0.804321068720937,0.797947292001966,0,0.283772002743999,0.80388184107749,1.6734693877551,3.68069331700161
1983,"UvU",0.627551020408163,0.778333096095864,0.731011505792349,0.828718021095358,0.817537673080995,0,0.295833333333333,0.8462408,1.70847457627119,3.81415725427912
1984,"UvU",0.653061224489796,0.84983773722217,0.800433749321063,0.90229101436502,0.915483512433656,0,0.325831520092501,0.896576827550945,1.77552447552448,3.9411197309404
1985,"UvU",0.675170068027211,0.79971017766578,0.755371172426237,0.846651807227506,0.821199663327602,0,0.304878048780488,0.877777777777778,1.6770147,3.64401294498382
1986,"UvU",0.695578231292517,0.855298590179292,0.809821804402579,0.903329194627394,0.89189624146764,0,0.32,0.929699923722349,1.78036547261525,3.965780629392
1987,"UvU",0.704081632653061,0.885381317404741,0.839355287481881,0.933931183731628,0.921896655867578,0,0.35,0.981332841096602,1.86666666666667,4.05105613341738
1988,"UvU",0.712585034013605,0.99869172855384,0.947683014254476,1.05244596946425,1.06005362698031,0,0.461052712530506,1.0223642172524,1.89450131502826,4.02
1989,"UvU",0.717687074829932,1.04096509146088,0.988715602983098,1.09597574709123,1.1211740541219,0,0.449266711425874,1.06829844497608,1.91388888888889,4.09708737864078
1990,"UvU",0.738095238095238,1.06510139702232,1.01418389661993,1.11857523050775,1.12311063127496,0,0.500547750538916,1.04230581024371,1.90740740740741,3.99666666666667
1991,"UvU",0.756802721088435,1.13340975550976,1.08140325528845,1.18791733574172,1.18255346438963,0,0.489581537090589,1.04210526315789,1.98431545585377,4.22222222222222
1992,"UvU",0.768707482993197,1.17332052538463,1.1211463871917,1.22792266114085,1.22272452640969,0,0.507681878668228,1.05664428571429,1.93131147540984,3.9411197309404
1993,"UvU",0.789115646258503,1.22269375574512,1.17096530310065,1.2767073596284,1.28897598082036,0,0.537147435897436,1.09628205128205,2.04189108842781,4.25663934403232
1994,"UvU",0.797619047619048,1.1631803156345,1.11583362897094,1.21253600138163,1.20535607774162,0,0.522692968127194,1.05,1.87647058823529,3.86394557823129
1995,"UvU",0.80952380952381,1.14639854864176,1.1015718472933,1.19304940077868,1.18221212802131,0,0.495,1.0518379653238,1.77431858118775,3.68182237442922
1996,"UvU",0.818027210884354,1.18662380632865,1.14137808745007,1.23366312462826,1.23335065876101,0,0.519538454545455,1.06363636363636,1.78813559322034,3.63636363636364
1997,"UvU",0.819727891156463,1.20876796767333,1.16312297564473,1.25620422798647,1.27104994669282,0,0.524,1.04616831249063,1.85751295336788,3.78787878787879
1998,"UvU",0.843537414965986,1.1990539588243,1.15725445996712,1.24236323635605,1.24863569786974,0,0.541603571428572,1.03430947368421,1.78377129337506,3.61702127659574
1999,"UvU",0.855442176870748,1.15923771278664,1.12086150761883,1.19892784756402,1.20254266589333,0,0.502132338776599,0.998897767980162,1.78561323095989,3.7
2000,"UvU",0.86734693877551,1.13137440301082,1.09582993094405,1.16807179986897,1.17196505545662,0,0.479101472514827,0.961609195402299,1.79414625133334,3.701750747
2001,"UvU",0.874149659863946,1.04036350976006,1.0089930597017,1.07270929371928,1.05349175850927,0,0.46444,0.911925126967899,1.724,3.56038672474592
2002,"UvU",0.889455782312925,1.04313528643644,1.01384723309534,1.07326941405827,1.06345178610438,0,0.450044223327805,0.938577045391599,1.72176026005214,3.60333333333333
2003,"UvU",0.899659863945578,0.978841804218569,0.952908811278135,1.00548055212201,0.990553716706665,0,0.454,0.93129308833562,1.668,3.45978408382273
2004,"UvU",0.903061224489796,0.957035274411948,0.932260835339112,0.982468083769267,0.970031385468619,0,0.429815120910068,0.920932101803604,1.6885517761346,3.574125
2005,"UvU",0.899659863945578,0.916242702286078,0.892256024546323,0.940874218158792,0.922285693532627,0,0.408702322796123,0.952223555260711,1.6625,3.46971192875053
